iter	Passed	Remaining
0	178	178739
1	179	89722
2	180	59946
3	180	45044
4	181	36137
5	182	30189
6	182	25941
7	183	22754
8	184	20270
9	184	18292
10	185	16685
11	186	15340
12	186	14196
13	187	13215
14	188	12357
15	188	11608
16	189	10949
17	189	10362
18	190	9838
19	191	9365
20	191	8940
21	192	8552
22	192	8197
23	193	7870
24	194	7569
25	194	7293
26	195	7038
27	195	6799
28	196	6576
29	196	6368
30	197	6173
31	198	5990
32	198	5821
33	199	5667
34	200	5515
35	200	5370
36	201	5234
37	201	5104
38	202	4982
39	202	4866
40	203	4755
41	203	4650
42	204	4549
43	204	4452
44	205	4362
45	206	4277
46	206	4193
47	207	4115
48	208	4039
49	208	3966
50	209	3896
51	209	3826
52	210	3759
53	210	3695
54	211	3634
55	212	3574
56	212	3520
57	213	3465
58	213	3412
59	214	3360
60	215	3310
61	215	3262
62	216	3214
63	216	3169
64	217	3125
65	217	3082
66	218	3040
67	218	2999
68	219	2961
69	220	2924
70	220	2887
71	221	2851
72	221	2816
73	222	2782
74	222	2749
75	223	2716
76	223	2684
77	224	2653
78	225	2623
79	225	2593
80	226	2565
81	226	2537
82	227	2508
83	227	2484
84	228	2459
85	229	2434
86	229	2409
87	230	2385
88	230	2361
89	231	2338
90	231	2316
91	232	2294
92	233	2272
93	233	2252
94	234	2232
95	234	2212
96	235	2191
97	235	2172
98	236	2152
99	237	2133
100	237	2114
101	238	2095
102	238	2077
103	239	2059
104	239	2042
105	240	2025
106	240	2008
107	241	1993
108	241	1977
109	242	1961
110	243	1946
111	243	1931
112	244	1915
113	244	1900
114	245	1886
115	245	1872
116	246	1857
117	246	1844
118	247	1830
119	247	1817
120	248	1804
121	248	1791
122	249	1780
123	250	1768
124	250	1756
125	251	1744
126	252	1732
127	252	1721
128	253	1711
129	254	1700
130	254	1689
131	255	1679
132	256	1668
133	256	1658
134	257	1648
135	257	1637
136	258	1627
137	258	1617
138	259	1607
139	260	1598
140	260	1588
141	261	1577
142	261	1569
143	262	1560
144	263	1551
145	263	1542
146	264	1534
147	265	1525
148	265	1517
149	266	1508
150	266	1500
151	267	1491
152	267	1483
153	268	1475
154	269	1466
155	269	1459
156	270	1451
157	270	1444
158	271	1436
159	272	1429
160	272	1420
161	273	1413
162	273	1406
163	274	1398
164	275	1391
165	275	1384
166	276	1377
167	276	1371
168	277	1364
169	278	1357
170	278	1351
171	279	1344
172	279	1338
173	280	1331
174	281	1325
175	281	1319
176	282	1313
177	283	1307
178	283	1301
179	284	1296
180	285	1292
181	286	1287
182	287	1281
183	287	1276
184	288	1270
185	288	1264
186	289	1259
187	290	1253
188	290	1248
189	291	1243
190	292	1239
191	293	1234
192	294	1229
193	294	1224
194	295	1219
195	296	1214
196	296	1209
197	297	1204
198	297	1199
199	298	1194
200	299	1189
201	299	1184
202	300	1179
203	301	1175
204	301	1170
205	302	1165
206	302	1160
207	303	1155
208	303	1150
209	304	1145
210	305	1140
211	305	1136
212	306	1131
213	307	1127
214	307	1123
215	308	1118
216	308	1114
217	309	1109
218	310	1105
219	310	1101
220	311	1096
221	311	1092
222	312	1087
223	312	1083
224	313	1079
225	313	1075
226	314	1071
227	315	1067
228	315	1063
229	316	1058
230	316	1054
231	317	1050
232	317	1046
233	318	1042
234	318	1038
235	319	1034
236	320	1030
237	320	1026
238	321	1022
239	321	1019
240	322	1015
241	323	1011
242	323	1008
243	324	1004
244	324	1000
245	325	996
246	325	992
247	326	989
248	326	985
249	327	982
250	327	978
251	328	975
252	329	972
253	329	968
254	330	965
255	330	961
256	331	958
257	331	954
258	332	951
259	333	947
260	333	944
261	334	941
262	334	938
263	335	935
264	336	932
265	336	929
266	337	926
267	337	922
268	338	919
269	338	916
270	339	913
271	340	910
272	340	907
273	341	904
274	341	901
275	342	898
276	343	895
277	343	892
278	344	889
279	344	886
280	345	883
281	345	880
282	346	877
283	346	874
284	347	871
285	348	869
286	348	866
287	349	863
288	350	861
289	350	858
290	351	855
291	351	853
292	352	850
293	352	847
294	353	844
295	353	841
296	354	839
297	355	836
298	355	833
299	356	831
300	356	828
301	357	826
302	358	823
303	358	821
304	359	818
305	359	815
306	360	813
307	360	810
308	361	807
309	361	805
310	362	803
311	363	800
312	363	798
313	364	796
314	365	793
315	365	791
316	366	788
317	366	786
318	367	783
319	367	781
320	368	778
321	368	776
322	369	774
323	369	771
324	370	769
325	371	767
326	371	765
327	372	762
328	372	760
329	373	758
330	373	755
331	374	753
332	374	751
333	375	748
334	376	746
335	376	744
336	377	742
337	377	740
338	378	738
339	379	736
340	379	733
341	380	731
342	381	729
343	381	727
344	382	725
345	382	723
346	383	721
347	383	719
348	384	717
349	385	715
350	385	713
351	386	711
352	386	709
353	387	706
354	387	704
355	388	702
356	389	700
357	389	698
358	390	696
359	390	694
360	391	693
361	392	691
362	392	689
363	393	687
364	394	685
365	394	683
366	395	681
367	395	679
368	396	677
369	396	675
370	397	673
371	398	672
372	398	670
373	399	668
374	400	667
375	400	665
376	401	663
377	402	661
378	402	660
379	403	658
380	403	656
381	404	654
382	405	652
383	405	651
384	406	649
385	407	647
386	407	645
387	408	643
388	408	641
389	409	640
390	409	638
391	410	636
392	411	634
393	411	633
394	412	631
395	413	630
396	413	628
397	414	626
398	414	624
399	415	622
400	415	621
401	416	619
402	417	617
403	417	616
404	418	614
405	418	612
406	419	611
407	420	609
408	420	607
409	421	606
410	421	604
411	422	603
412	423	601
413	423	599
414	424	598
415	424	596
416	425	594
417	426	593
418	426	591
419	427	590
420	428	588
421	428	587
422	429	585
423	429	583
424	430	582
425	430	580
426	431	579
427	432	577
428	432	575
429	433	574
430	433	572
431	434	571
432	435	569
433	435	568
434	436	566
435	436	565
436	437	563
437	438	562
438	438	560
439	439	558
440	439	557
441	440	555
442	440	554
443	441	553
444	442	551
445	442	549
446	443	548
447	443	546
448	444	545
449	445	543
450	445	542
451	446	540
452	446	539
453	447	538
454	448	536
455	448	535
456	449	533
457	449	532
458	450	531
459	451	529
460	451	528
461	452	526
462	452	525
463	453	523
464	453	522
465	454	520
466	455	519
467	455	517
468	456	516
469	456	515
470	457	513
471	458	512
472	458	510
473	459	509
474	459	507
475	460	506
476	460	505
477	461	503
478	461	502
479	462	501
480	463	499
481	463	498
482	464	497
483	464	495
484	465	494
485	466	492
486	466	491
487	467	490
488	467	488
489	468	487
490	469	486
491	469	484
492	470	483
493	470	482
494	471	480
495	471	479
496	472	478
497	473	476
498	473	475
499	474	474
500	474	472
501	475	471
502	475	470
503	476	468
504	477	467
505	477	466
506	478	465
507	479	463
508	479	462
509	480	461
510	480	460
511	481	458
512	482	457
513	482	456
514	483	455
515	484	454
516	484	452
517	485	451
518	485	450
519	486	449
520	487	447
521	487	446
522	488	445
523	488	444
524	489	442
525	490	441
526	490	440
527	491	439
528	492	438
529	492	436
530	493	435
531	493	434
532	494	433
533	495	431
534	495	430
535	496	429
536	496	428
537	497	427
538	497	425
539	498	424
540	499	423
541	499	422
542	500	421
543	500	419
544	501	418
545	501	417
546	502	416
547	503	414
548	503	413
549	504	412
550	504	411
551	505	410
552	506	409
553	506	408
554	507	406
555	508	405
556	508	404
557	509	403
558	509	402
559	510	401
560	511	399
561	511	398
562	512	397
563	513	396
564	513	395
565	514	394
566	514	393
567	515	391
568	515	390
569	516	389
570	517	388
571	517	387
572	518	386
573	518	385
574	519	384
575	520	383
576	520	381
577	521	380
578	522	379
579	522	378
580	523	377
581	523	376
582	524	375
583	525	374
584	525	372
585	526	371
586	526	370
587	527	369
588	528	368
589	528	367
590	529	366
591	529	365
592	530	364
593	531	362
594	531	361
595	532	360
596	532	359
597	533	358
598	533	357
599	534	356
600	535	355
601	535	354
602	536	353
603	537	352
604	537	350
605	538	349
606	538	348
607	539	347
608	539	346
609	540	345
610	541	344
611	541	343
612	542	342
613	543	341
614	543	340
615	544	339
616	544	338
617	545	337
618	545	336
619	546	335
620	547	333
621	547	332
622	548	331
623	549	330
624	549	329
625	550	328
626	550	327
627	551	326
628	551	325
629	552	324
630	552	323
631	553	322
632	554	321
633	554	320
634	555	319
635	555	318
636	556	317
637	557	316
638	557	315
639	558	314
640	558	313
